name;lat;lon;id;gtfsid;gtfsname;gtfslat;gtfslon
Mosseporten Senter, Norge;59.445422;10.701055;9021014089003000;7690003;Mosseporten Senter;59.446026130518;10.705380321144
Mosseporten Senter, Norge;59.445431;10.701055;9022014089003001;7690003;Mosseporten Senter;59.446026130518;10.705380321144
Oslo Bussterminal, Norge;59.911378;10.759638;9022014089004001;7690001;Oslo bstn Galleriet;59.911891746752;10.757076171616
Oslo Bussterminal, Norge;59.911369;10.759665;9021014089004000;7690001;Oslo bstn Galleriet;59.911891746752;10.757076171616
Långegärde, Strömstad;58.891462;11.007767;9021014026420000;7420182;Syd-Koster Långegärde;58.891459634843;11.007769648599
Långegärde, Strömstad;58.891462;11.007767;9022014026420001;7420182;Syd-Koster Långegärde;58.891459634843;11.007769648599
Västra bryggan, Strömstad;58.893080;11.009997;9021014026421000;7401200;Nord-Koster Västra bryggan;58.893079984551;11.009994277693
Västra bryggan, Strömstad;58.893080;11.009997;9022014026421001;7401200;Nord-Koster Västra bryggan;58.893079984551;11.009994277693
Vettnet, Strömstad;58.903184;11.020739;9021014026422000;7442357;Vettnet;58.903181213992;11.020739176177
Vettnet, Strömstad;58.903184;11.020739;9022014026422001;7442357;Vettnet;58.903181213992;11.020739176177
Ekenäs, Strömstad;58.893610;11.048821;9021014026410000;7420701;Syd-Koster Ekenäs;58.893609587224;11.048819833088
Ekenäs, Strömstad;58.893610;11.048821;9022014026410001;7420701;Syd-Koster Ekenäs;58.893609587224;11.048819833088
Kilesand, Strömstad;58.878472;11.052983;9021014026411000;7421792;Syd-Koster Kilesand;58.878477433531;11.052986027285
Kilesand, Strömstad;58.878472;11.052983;9022014026411001;7421792;Syd-Koster Kilesand;58.878477433531;11.052986027285
Ramsö, Strömstad;58.831531;11.067402;9021014026430000;7461937;Ramsö;58.831532833268;11.067406723284
Ramsö, Strömstad;58.831531;11.067402;9022014026430001;7461937;Ramsö;58.831532833268;11.067406723284
Sarpsborg, Norge;59.280937;11.111763;9021014089002000;7600527;Sarpsborg;59.283847250357;11.118967397711
Sarpsborg, Norge;59.280937;11.111763;9022014089002001;7600527;Sarpsborg;59.283847250357;11.118967397711
Styrsö, Strömstad;58.908110;11.115818;9021014026180000;7442235;Styrsö;58.908111309601;11.11582123607
Styrsö, Strömstad;58.908110;11.115818;9022014026180001;7442235;Styrsö;58.908111309601;11.11582123607
Lindholmens vändplan, Strömstad;58.890212;11.128393;9021014026156000;7416279;Lindholmen vändplan;58.89021678277;11.128394452519
Lindholmens vändplan, Strömstad;58.890212;11.128393;9022014026156001;7416279;Lindholmen vändplan;58.89021678277;11.128394452519
Öddö, Strömstad;58.923490;11.130767;9021014026190000;7442242;Öddö Blötebogen;58.923489204857;11.130771271221
Öddö, Strömstad;58.923490;11.130767;9022014026190001;7442242;Öddö Blötebogen;58.923489204857;11.130771271221
Källviksdalen, Strömstad;58.962414;11.131962;9021014026439000;7442360;Källviksdalen;58.96241005938;11.13196743
Källviksdalen, Strömstad;58.962414;11.131962;9022014026439001;7442360;Källviksdalen;58.96241005938;11.13196743
Husevägen, Strömstad;58.960076;11.133499;9022014026505001;7442376;Husevägen;58.960093123352;11.133534870992
Husevägen, Strömstad;58.960094;11.133535;9021014026505000;7442376;Husevägen;58.960093123352;11.133534870992
Husevägen, Strömstad;58.960112;11.133562;9022014026505002;7442376;Husevägen;58.960093123352;11.133534870992
Caprivägen, Strömstad;58.958422;11.134263;9022014026284002;7442376;Husevägen;58.960093123352;11.133534870992
Caprivägen, Strömstad;58.958404;11.134281;9021014026284000;7442376;Husevägen;58.960093123352;11.133534870992
Caprivägen, Strömstad;58.958395;11.134299;9022014026284001;7442376;Husevägen;58.960093123352;11.133534870992
Kase, Strömstad;58.957856;11.141428;9022014026173002;7442231;Kase;58.957653433213;11.141906458493
Kase, Strömstad;58.957649;11.141904;9021014026173000;7442231;Kase;58.957653433213;11.141906458493
Kase, Strömstad;58.957443;11.142399;9022014026173001;7442231;Kase;58.957653433213;11.141906458493
Tjärnö Lovéncentret, Strömstad;58.874688;11.145491;9022014026148002;7442220;Tjärnö Lovéncentret;58.874669984072;11.145498880118
Tjärnö Lovéncentret, Strömstad;58.874670;11.145500;9021014026148000;7442220;Tjärnö Lovéncentret;58.874669984072;11.145498880118
Seglarbyn, Strömstad;58.955842;11.148502;9022014026292001;7442298;Seglarbyn;58.955869031337;11.148517570777
Seglarbyn, Strömstad;58.955869;11.148511;9021014026292000;7442298;Seglarbyn;58.955869031337;11.148517570777
Seglarbyn, Strömstad;58.955896;11.148547;9022014026292002;7442298;Seglarbyn;58.955869031337;11.148517570777
Bogen, Strömstad;58.987997;11.151783;9021014026171000;7442230;Bogen;58.987994657711;11.151784503662
Bogen, Strömstad;58.987997;11.151783;9022014026171001;7442230;Bogen;58.987994657711;11.151784503662
Tjärnö kyrka, Strömstad;58.873861;11.154130;9022014026147001;7418032;Tjärnö kyrka;58.87387824627;11.15419980625
Båtsviksvägen, Strömstad;58.955078;11.154157;9021014026283000;7442290;Båtsviksvägen;58.955083303096;11.154157883136
Båtsviksvägen, Strömstad;58.955105;11.154157;9022014026283002;7442290;Båtsviksvägen;58.955083303096;11.154157883136
Båtsviksvägen, Strömstad;58.955060;11.154174;9022014026283001;7442290;Båtsviksvägen;58.955083303096;11.154157883136
Tjärnö kyrka, Strömstad;58.873879;11.154201;9021014026147000;7418032;Tjärnö kyrka;58.87387824627;11.15419980625
Tjärnö kyrka, Strömstad;58.873897;11.154264;9022014026147002;7418032;Tjärnö kyrka;58.87387824627;11.15419980625
Tjärnö skola, Strömstad;58.874122;11.156925;9022014026433002;7418033;Tjärnö skola;58.874103206934;11.156947485465
Tjärnö skola, Strömstad;58.874104;11.156943;9021014026433000;7418033;Tjärnö skola;58.874103206934;11.156947485465
Tjärnö skola, Strömstad;58.874086;11.156961;9022014026433001;7418033;Tjärnö skola;58.874103206934;11.156947485465
Härslättsvägen, Strömstad;58.985786;11.157411;9022014026504001;7442375;Härslättsvägen;58.985788920379;11.15744757442
Härslättsvägen, Strömstad;58.985786;11.157447;9021014026504000;7442375;Härslättsvägen;58.985788920379;11.15744757442
Härslättsvägen, Strömstad;58.985795;11.157500;9022014026504002;7442375;Härslättsvägen;58.985788920379;11.15744757442
Seläters camping, Strömstad;58.956031;11.158067;9022014026174002;7416286;Seläter camping;58.956248160027;11.158543002398
Seläters camping, Strömstad;58.956247;11.158543;9021014026174000;7416286;Seläter camping;58.956248160027;11.158543002398
Seläters camping, Strömstad;58.956472;11.159038;9022014026174001;7416286;Seläter camping;58.956248160027;11.158543002398
